id,nome, categoria, preco
1,Notebook,Eletrônicos,3500.00
2,Smartphone,Eletrônicos,1500.00
3,Cadeira,Móveis,300.00
4,Mesa de Jantar,Móveis,1200.00
5,Monitor,Eletrônicos,800.00
6,Sofá,Móveis,2500.00
7,Fone de Ouvido,Eletrônicos,200.00
8,Luminária,Móveis,150.00
9,Tablet,Eletrônicos,900.00
10,Estante,Móveis,700.00
11,Impressora,Eletrônicos,600.00
12,Armário,Móveis,1800.00
13,Teclado,Eletrônicos,100.00
14,Cadeira de Escritório,Móveis,400.00
15,Celular Básico,Eletrônicos,300.00
16,Poltrona,Móveis,2200.00
17,Webcam,Eletrônicos,250.00
18,Buffet,Móveis,1600.00
19,Carregador Portátil,Eletrônicos,120.00
20,Tapete,Móveis,350.00
21,Smartwatch,Eletrônicos,450.00
22,Guarda-Roupa,Móveis,2000.00
23,Alto-Falante,Eletrônicos,550.00
24,Cômoda,Móveis,1300.00
25,Mouse,Eletrônicos,80.00
26,Banco,Móveis,400.00
27,Roteador,Eletrônicos,300.00
28,Prateleira,Móveis,600.00
29,TV LED,Eletrônicos,2500.00
30,Cama Box,Móveis,3500.00
31,Projetor,Eletrônicos,1800.00
